seq,resultado_us,offset_us
1,-100,50999876
2,-107,50999876
3,-114,50999876
4,-121,50999876
5,-129,50999876
6,-137,50999876
7,-145,50999876
8,-152,50999876
9,-159,50999876
10,-167,50999876
11,-174,50999876
12,-182,50999876
13,-189,50999876
14,-197,50999876
15,-204,50999876
16,-212,50999876
17,-219,50999876
18,-227,50999876
19,-234,50999876
20,-241,50999876
21,-249,50999876
22,-257,50999876
23,-264,50999876
24,-271,50999876
25,-278,50999876
26,-286,50999876
27,-294,50999876
28,-301,50999876
29,-308,50999876
30,-316,50999876
31,-323,50999876
32,-330,50999876
33,-338,50999876
34,-346,50999876
35,-353,50999876
36,-360,50999876
37,-367,50999876
38,-375,50999876
39,-382,50999876
40,-389,50999876
41,-396,50999876
42,-404,50999876
43,-411,50999876
44,-418,50999876
45,-425,50999876
46,-433,50999876
47,-440,50999876
48,-447,50999876
49,-454,50999876
50,-461,50999876
51,-468,50999876
52,-476,50999876
53,-483,50999876
54,-490,50999876
55,-498,50999876
56,-505,50999876
57,-512,50999876
58,-519,50999876
59,-526,50999876
60,-40,51000369
61,-47,51000369
62,-54,51000369
63,-61,51000369
64,-68,51000369
65,-75,51000369
66,-82,51000369
67,-89,51000369
68,-96,51000369
69,-103,51000369
70,-110,51000369
71,-117,51000369
72,-124,51000369
73,-131,51000369
74,-138,51000369
75,-145,51000369
76,-151,51000369
77,-159,51000369
78,-166,51000369
79,-172,51000369
80,-179,51000369
81,-186,51000369
82,-193,51000369
83,-199,51000369
84,-206,51000369
85,-214,51000369
86,-220,51000369
87,-227,51000369
88,-234,51000369
89,-241,51000369
90,-247,51000369
91,-254,51000369
92,-261,51000369
93,-267,51000369
94,-274,51000369
95,-281,51000369
96,-287,51000369
97,-293,51000369
98,-301,51000369
99,-307,51000369
100,-314,51000369
101,-320,51000369
102,-327,51000369
103,-333,51000369
104,-340,51000369
105,-347,51000369
106,-353,51000369
107,-359,51000369
108,-366,51000369
109,-373,51000369
110,-379,51000369
111,-386,51000369
112,-392,51000369
113,-399,51000369
114,-405,51000369
115,-412,51000369
116,-418,51000369
117,-424,51000369
118,-430,51000369
119,-436,51000369
120,-287,51000526
121,-293,51000526
122,-299,51000526
123,-305,51000526
124,-312,51000526
125,-318,51000526
126,-324,51000526
127,-330,51000526
128,-337,51000526
129,-343,51000526
130,-350,51000526
131,-356,51000526
132,-362,51000526
133,-368,51000526
134,-374,51000526
135,-381,51000526
136,-387,51000526
137,-393,51000526
138,-399,51000526
139,-405,51000526
140,-411,51000526
141,-417,51000526
142,-424,51000526
143,-430,51000526
144,-436,51000526
145,-442,51000526
146,-448,51000526
147,-454,51000526
148,-460,51000526
149,-466,51000526
150,-472,51000526
151,-478,51000526
152,-484,51000526
153,-491,51000526
154,-496,51000526
155,-502,51000526
156,-508,51000526
157,-514,51000526
158,-520,51000526
159,-526,51000526
160,-532,51000526
161,-538,51000526
162,-544,51000526
163,-549,51000526
164,-555,51000526
165,-562,51000526
166,-567,51000526
167,-573,51000526
168,-579,51000526
169,-585,51000526
170,-591,51000526
171,-597,51000526
172,-602,51000526
173,-608,51000526
174,-614,51000526
175,-620,51000526
176,-626,51000526
177,-632,51000526
178,-638,51000526
179,-643,51000526
180,9,51001184
181,3,51001184
182,-2,51001184
183,-8,51001184
184,-13,51001184
185,-20,51001184
186,-25,51001184
187,-31,51001184
188,-37,51001184
189,-42,51001184
190,-48,51001184
191,-54,51001184
192,-60,51001184
193,-65,51001184
194,-71,51001184
195,-77,51001184
196,-82,51001184
197,-87,51001184
198,-94,51001184
199,-99,51001184
200,-105,51001184
# fin
